cod_distrito,año,area_inversion,total_invertido
1.0,2015,Urbanismo,3960430.46
1.0,2016,Cultura,3619833.96
1.0,2016,"Deportes, juventud y esparcimiento",390636.58
1.0,2016,Educación,1696443.72
1.0,2016,Inversiones de carácter general,211850750.2
1.0,2016,Mantenimiento urbano,632914.38
1.0,2016,Medio ambiente,1528718.16
1.0,2016,Otros bienes públicos de carácter social,742.46
1.0,2016,Protección Civil y seguridad ciudadana,742568.68
1.0,2016,Protección y promoción social,914015.8
1.0,2016,Salud pública,1901218.52
1.0,2016,Sectores productivos,53012.74
1.0,2016,Urbanismo,1212376.68
1.0,2017,Cultura,3042659.96
1.0,2017,"Deportes, juventud y esparcimiento",548006.36
1.0,2017,Educación,2604265.54
1.0,2017,Inversiones de carácter general,8370534.5
1.0,2017,Mantenimiento urbano,264769.4
1.0,2017,Medio ambiente,2202575.02
1.0,2017,Otros bienes públicos de carácter social,169354.86
1.0,2017,Protección Civil y seguridad ciudadana,850715.74
1.0,2017,Protección y promoción social,907568.78
1.0,2017,Salud pública,2345789.9
1.0,2017,Sectores productivos,88466.46
1.0,2017,"Tráfico, estacionamiento y transporte público",303862.46
1.0,2017,Urbanismo,2082297.96
1.0,2018,Cultura,3014330.32
1.0,2018,"Deportes, juventud y esparcimiento",2210485.12
1.0,2018,Educación,3641443.48
1.0,2018,Inversiones de carácter general,8230360.6
1.0,2018,Mantenimiento urbano,175527.02
1.0,2018,Medio ambiente,953765.66
1.0,2018,Otros bienes públicos de carácter social,9635.1
1.0,2018,Protección Civil y seguridad ciudadana,487840.88
1.0,2018,Protección y promoción social,2271790.68
1.0,2018,Salud pública,221421.86
1.0,2018,Sectores productivos,418231.42
1.0,2018,Urbanismo,23483499.54
1.0,2019,Cultura,6341511.72
1.0,2019,"Deportes, juventud y esparcimiento",1554024.36
1.0,2019,Educación,4653441.36
1.0,2019,Infraestructuras,0.0
1.0,2019,Inversiones de carácter general,9990257.48
1.0,2019,Mantenimiento urbano,1877326.28
1.0,2019,Medio ambiente,2388384.56
1.0,2019,Otros bienes públicos de carácter social,217079.22
1.0,2019,Protección Civil y seguridad ciudadana,94806.08
1.0,2019,Protección y promoción social,793304.12
1.0,2019,Salud pública,593143.18
1.0,2019,"Tráfico, estacionamiento y transporte público",641685.72
1.0,2019,Urbanismo,16623123.54
1.0,2020,Cultura,5884765.4
1.0,2020,"Deportes, juventud y esparcimiento",10855551.94
1.0,2020,Educación,4847138.54
1.0,2020,Infraestructuras,2763589.62
1.0,2020,Inversiones de carácter general,7088501.18
1.0,2020,Mantenimiento urbano,1466318.62
1.0,2020,Medio ambiente,987762.82
1.0,2020,Otros bienes públicos de carácter económico,0.0
1.0,2020,Otros bienes públicos de carácter social,44919.92
1.0,2020,Protección Civil y seguridad ciudadana,549092.62
1.0,2020,Protección y promoción social,1249447.42
1.0,2020,Salud pública,425898.06
1.0,2020,Sectores productivos,30856.68
1.0,2020,Urbanismo,3195161.48
1.0,2021,Cultura,2250763.14
1.0,2021,"Deportes, juventud y esparcimiento",24169729.38
1.0,2021,Educación,3336447.74
1.0,2021,Infraestructuras,7606352.48
1.0,2021,Inversiones de carácter general,3489863.96
1.0,2021,Mantenimiento urbano,12152614.02
1.0,2021,Medio ambiente,1686579.12
1.0,2021,Otros bienes públicos de carácter económico,193533.52
1.0,2021,Otros bienes públicos de carácter social,10449.56
1.0,2021,Protección Civil y seguridad ciudadana,226458.2
1.0,2021,Protección y promoción social,214679.54
1.0,2021,Salud pública,168949.1
1.0,2021,Urbanismo,32754233.34
1.0,2022,Cultura,3520372.08
1.0,2022,"Deportes, juventud y esparcimiento",20574901.72
1.0,2022,Educación,4143610.2
1.0,2022,Inversiones de carácter general,5927946.96
1.0,2022,Mantenimiento urbano,19157172.58
1.0,2022,Medio ambiente,3585228.18
1.0,2022,Otros bienes públicos de carácter económico,729930.6
1.0,2022,Otros bienes públicos de carácter social,11722.48
1.0,2022,Protección Civil y seguridad ciudadana,1821348.1
1.0,2022,Protección y promoción social,487679.14
1.0,2022,Salud pública,107872.7
1.0,2022,Sectores productivos,1472229.7999999998
1.0,2022,Urbanismo,21479722.2
2.0,2012,Cultura,7796861.18
2.0,2012,"Deportes, juventud y esparcimiento",432352.94
2.0,2012,Educación,404500.68
2.0,2012,Inversiones de carácter general,294281.38
2.0,2012,Mantenimiento urbano,1568778.82
2.0,2012,Medio ambiente,159517.18
2.0,2012,Protección Civil y seguridad ciudadana,0.0
2.0,2012,Protección y promoción social,29578.82
2.0,2012,"Tráfico, estacionamiento y transporte público",164559.06
2.0,2012,Urbanismo,1219927.12
2.0,2013,Cultura,511319.44
2.0,2013,"Deportes, juventud y esparcimiento",730050.0
2.0,2013,Educación,403907.84
2.0,2013,Inversiones de carácter general,154678.42
2.0,2013,Mantenimiento urbano,1398892.56
2.0,2013,Protección y promoción social,92744.38
2.0,2013,Salud pública,9099.32
2.0,2013,"Tráfico, estacionamiento y transporte público",310495.32
2.0,2013,Urbanismo,30171068.56
2.0,2014,Cultura,829480.18
2.0,2014,"Deportes, juventud y esparcimiento",478078.78
2.0,2014,Educación,476593.72
2.0,2014,Inversiones de carácter general,3758269.78
2.0,2014,Mantenimiento urbano,566684.04
2.0,2014,Otros bienes públicos de carácter social,5674.7
2.0,2014,Protección Civil y seguridad ciudadana,55477.94
2.0,2014,Protección y promoción social,464272.48
2.0,2014,Sectores productivos,120915.44
2.0,2014,Urbanismo,9201233.82
2.0,2015,Cultura,335763.98
2.0,2015,"Deportes, juventud y esparcimiento",775141.8
2.0,2015,Educación,405682.14
2.0,2015,Inversiones de carácter general,8383463.26
2.0,2015,Mantenimiento urbano,359693.12
2.0,2015,Medio ambiente,0.0
2.0,2015,Otros bienes públicos de carácter social,2726.18
2.0,2015,Protección Civil y seguridad ciudadana,346925.3
2.0,2015,Protección y promoción social,529690.56
2.0,2015,Salud pública,21968.76
2.0,2015,Urbanismo,3570666.94
2.0,2016,Cultura,1114343.42
2.0,2016,"Deportes, juventud y esparcimiento",1703780.32
2.0,2016,Educación,908094.34
2.0,2016,Inversiones de carácter general,5520563.0
2.0,2016,Mantenimiento urbano,432276.24
2.0,2016,Medio ambiente,255772.66
2.0,2016,Otros bienes públicos de carácter social,49636.38
2.0,2016,Protección Civil y seguridad ciudadana,247073.5
2.0,2016,Protección y promoción social,439186.06
2.0,2016,Salud pública,72308.76
2.0,2016,"Tráfico, estacionamiento y transporte público",45952.86
2.0,2016,Urbanismo,1248032.1
2.0,2017,Cultura,1865667.42
2.0,2017,"Deportes, juventud y esparcimiento",1992322.68
2.0,2017,Educación,1707810.98
2.0,2017,Infraestructuras,0.0
2.0,2017,Inversiones de carácter general,2609908.78
2.0,2017,Mantenimiento urbano,558575.2
2.0,2017,Medio ambiente,103889.2
2.0,2017,Otros bienes públicos de carácter social,2494.54
2.0,2017,Protección Civil y seguridad ciudadana,1936.0
2.0,2017,Protección y promoción social,141079.92
2.0,2017,Salud pública,99210.88
2.0,2017,"Tráfico, estacionamiento y transporte público",5412.92
2.0,2017,Urbanismo,728893.2
2.0,2018,Cultura,579707.84
2.0,2018,"Deportes, juventud y esparcimiento",2421049.74
2.0,2018,Educación,6380489.62
2.0,2018,Inversiones de carácter general,8974311.8
2.0,2018,Mantenimiento urbano,305602.98
2.0,2018,Medio ambiente,44569.78
2.0,2018,Otros bienes públicos de carácter social,22390.2
2.0,2018,Protección Civil y seguridad ciudadana,4086307.12
2.0,2018,Protección y promoción social,360947.54
2.0,2018,Salud pública,41677.24
2.0,2018,"Tráfico, estacionamiento y transporte público",59451.38
2.0,2018,Urbanismo,831850.6
2.0,2019,Cultura,2154218.1
2.0,2019,"Deportes, juventud y esparcimiento",7894928.2
2.0,2019,Educación,4002306.9
2.0,2019,Inversiones de carácter general,7578273.08
2.0,2019,Mantenimiento urbano,3058.2
2.0,2019,Medio ambiente,2192436.1
2.0,2019,Otros bienes públicos de carácter social,8739.54
2.0,2019,Protección Civil y seguridad ciudadana,25732.54
2.0,2019,Protección y promoción social,276970.62
2.0,2019,Salud pública,77496.46
2.0,2019,Urbanismo,31865.48
2.0,2020,Cultura,2403254.16
2.0,2020,"Deportes, juventud y esparcimiento",4226971.62
2.0,2020,Educación,3731627.06
2.0,2020,Infraestructuras,0.0
2.0,2020,Inversiones de carácter general,2433540.92
2.0,2020,Mantenimiento urbano,1371940.36
2.0,2020,Medio ambiente,1216042.46
2.0,2020,Otros bienes públicos de carácter social,8537.76
2.0,2020,Protección Civil y seguridad ciudadana,7787780.64
2.0,2020,Protección y promoción social,535468.18
2.0,2020,Salud pública,24203.7
2.0,2020,Urbanismo,337601.14
2.0,2021,Cultura,66656.16
2.0,2021,"Deportes, juventud y esparcimiento",3672894.34
2.0,2021,Educación,2073277.5
2.0,2021,Infraestructuras,9616338.9
2.0,2021,Inversiones de carácter general,5780445.8
2.0,2021,Mantenimiento urbano,3629959.02
2.0,2021,Medio ambiente,1569926.24
2.0,2021,Otros bienes públicos de carácter social,4629.46
2.0,2021,Protección Civil y seguridad ciudadana,6068177.36
2.0,2021,Protección y promoción social,2915309.6
2.0,2021,Salud pública,108406.74
2.0,2021,Sectores productivos,95965.1
2.0,2021,"Tráfico, estacionamiento y transporte público",196352.16
2.0,2021,Urbanismo,349420.12
2.0,2022,Cultura,3451762.38
2.0,2022,"Deportes, juventud y esparcimiento",3950076.16
2.0,2022,Educación,3325899.6
2.0,2022,Infraestructuras,78246849.44
2.0,2022,Inversiones de carácter general,13958506.02
2.0,2022,Mantenimiento urbano,9972863.48
2.0,2022,Medio ambiente,6412095.96
2.0,2022,Otros bienes públicos de carácter social,6216.98
2.0,2022,Protección Civil y seguridad ciudadana,14789806.120000001
2.0,2022,Protección y promoción social,8077078.46
2.0,2022,Salud pública,137748.26
2.0,2022,Sectores productivos,1020000.0
2.0,2022,"Tráfico, estacionamiento y transporte público",1072.7
3.0,2012,Cultura,8551757.34
3.0,2012,"Deportes, juventud y esparcimiento",356351.98
3.0,2012,Educación,463237.36
3.0,2012,Inversiones de carácter general,713530.58
3.0,2012,Mantenimiento urbano,1004807.1
3.0,2012,Medio ambiente,622151.1
3.0,2012,Protección y promoción social,417362.56
3.0,2012,Salud pública,67444.92
3.0,2012,"Tráfico, estacionamiento y transporte público",100598.44
3.0,2012,Urbanismo,451541.76
3.0,2013,Cultura,4590308.7
3.0,2013,"Deportes, juventud y esparcimiento",305069.98
3.0,2013,Educación,535480.48
3.0,2013,Inversiones de carácter general,817815.42
3.0,2013,Mantenimiento urbano,708738.68
3.0,2013,Medio ambiente,0.0
3.0,2013,Protección Civil y seguridad ciudadana,7260.0
3.0,2013,Protección y promoción social,325822.36
3.0,2013,Salud pública,193316.46
3.0,2013,"Tráfico, estacionamiento y transporte público",31084.96
3.0,2014,Cultura,681276.82
3.0,2014,"Deportes, juventud y esparcimiento",415220.28
3.0,2014,Educación,733420.8
3.0,2014,Inversiones de carácter general,729733.16
3.0,2014,Mantenimiento urbano,865545.26
3.0,2014,Medio ambiente,131303.9
3.0,2014,Protección y promoción social,528397.7
3.0,2014,Salud pública,34130.86
3.0,2014,"Tráfico, estacionamiento y transporte público",33478.88
3.0,2014,Urbanismo,587651.62
3.0,2015,Cultura,963968.66
3.0,2015,"Deportes, juventud y esparcimiento",1005574.74
3.0,2015,Educación,541507.0
3.0,2015,Inversiones de carácter general,7693693.08
3.0,2015,Mantenimiento urbano,484359.12
3.0,2015,Medio ambiente,359684.9
3.0,2015,Protección y promoción social,371158.74
3.0,2015,Salud pública,216328.28
3.0,2015,Urbanismo,735471.92
3.0,2016,Cultura,945822.88
3.0,2016,"Deportes, juventud y esparcimiento",490782.44
3.0,2016,Educación,490632.42
3.0,2016,Inversiones de carácter general,988426.34
3.0,2016,Mantenimiento urbano,164163.24
3.0,2016,Medio ambiente,373446.14
3.0,2016,Otros bienes públicos de carácter social,8752.32
3.0,2016,Protección Civil y seguridad ciudadana,111878.46
3.0,2016,Protección y promoción social,2401438.64
3.0,2016,Salud pública,1407673.92
3.0,2016,Urbanismo,1071022.12
3.0,2017,Cultura,738749.2
3.0,2017,"Deportes, juventud y esparcimiento",1170320.62
3.0,2017,Educación,957570.5
3.0,2017,Infraestructuras,5807.4
3.0,2017,Inversiones de carácter general,2207261.54
3.0,2017,Mantenimiento urbano,286826.88
3.0,2017,Medio ambiente,260093.78
3.0,2017,Otros bienes públicos de carácter social,4852.78
3.0,2017,Protección Civil y seguridad ciudadana,14595.12
3.0,2017,Protección y promoción social,1030454.76
3.0,2017,Salud pública,429338.68
3.0,2017,Urbanismo,1730709.32
3.0,2018,Cultura,1226198.1
3.0,2018,"Deportes, juventud y esparcimiento",1234406.46
3.0,2018,Educación,3492615.76
3.0,2018,Infraestructuras,2136006.54
3.0,2018,Inversiones de carácter general,5439538.02
3.0,2018,Mantenimiento urbano,308048.6
3.0,2018,Medio ambiente,986862.0
3.0,2018,Protección Civil y seguridad ciudadana,0.0
3.0,2018,Protección y promoción social,471759.52
3.0,2018,Salud pública,292853.94
3.0,2018,Urbanismo,512894.66
3.0,2019,Cultura,1470833.58
3.0,2019,"Deportes, juventud y esparcimiento",1112449.74
3.0,2019,Educación,8657826.3
3.0,2019,Infraestructuras,245798.48
3.0,2019,Inversiones de carácter general,8093335.74
3.0,2019,Mantenimiento urbano,420215.34
3.0,2019,Medio ambiente,519762.26
3.0,2019,Otros bienes públicos de carácter social,2808.12
3.0,2019,Protección Civil y seguridad ciudadana,123775.4
3.0,2019,Protección y promoción social,925116.34
3.0,2019,Salud pública,983554.4
3.0,2019,Urbanismo,0.0
3.0,2020,Cultura,1842583.16
3.0,2020,"Deportes, juventud y esparcimiento",500736.26
3.0,2020,Educación,2415737.26
3.0,2020,Inversiones de carácter general,1214847.48
3.0,2020,Mantenimiento urbano,1012511.44
3.0,2020,Medio ambiente,4612880.72
3.0,2020,Otros bienes públicos de carácter social,4167.24
3.0,2020,Protección Civil y seguridad ciudadana,0.0
3.0,2020,Protección y promoción social,395879.54
3.0,2020,Salud pública,5391.98
3.0,2020,Urbanismo,13039882.68
3.0,2021,Cultura,563526.36
3.0,2021,"Deportes, juventud y esparcimiento",1264972.6
3.0,2021,Educación,1146685.14
3.0,2021,Infraestructuras,2324720.74
3.0,2021,Inversiones de carácter general,1710502.68
3.0,2021,Mantenimiento urbano,3852406.46
3.0,2021,Medio ambiente,5183284.64
3.0,2021,Otros bienes públicos de carácter social,1635.92
3.0,2021,Protección Civil y seguridad ciudadana,7599699.82
3.0,2021,Protección y promoción social,588967.36
3.0,2021,Salud pública,1911.8
3.0,2021,Urbanismo,1447981.16
3.0,2022,Cultura,1983603.44
3.0,2022,"Deportes, juventud y esparcimiento",890422.6
3.0,2022,Educación,1394556.38
3.0,2022,Infraestructuras,17050142.04
3.0,2022,Inversiones de carácter general,5738231.08
3.0,2022,Mantenimiento urbano,10558397.16
3.0,2022,Medio ambiente,1029760.88
3.0,2022,Otros bienes públicos de carácter social,7434.24
3.0,2022,Protección Civil y seguridad ciudadana,4765302.1
3.0,2022,Protección y promoción social,788921.4
3.0,2022,Salud pública,67474.02
3.0,2022,"Tráfico, estacionamiento y transporte público",280902.32
3.0,2022,Urbanismo,10970650.04
4.0,2012,Cultura,41866.32
4.0,2012,"Deportes, juventud y esparcimiento",457770.18
4.0,2012,Educación,190780.4
4.0,2012,Inversiones de carácter general,55171.6
4.0,2012,Mantenimiento urbano,2743766.18
4.0,2012,Medio ambiente,0.0
4.0,2012,Protección Civil y seguridad ciudadana,5821109.5
4.0,2012,Protección y promoción social,184266.74
4.0,2012,Salud pública,142923.3
4.0,2012,"Tráfico, estacionamiento y transporte público",118393.64
4.0,2012,Urbanismo,0.0
4.0,2013,Cultura,32126.3
4.0,2013,"Deportes, juventud y esparcimiento",1380623.54
4.0,2013,Educación,135222.86
4.0,2013,Inversiones de carácter general,1178.46
4.0,2013,Mantenimiento urbano,2763382.46
4.0,2013,Medio ambiente,55662.42
4.0,2013,Protección Civil y seguridad ciudadana,465983.04
4.0,2013,Protección y promoción social,109009.06
4.0,2013,Salud pública,152461.84
4.0,2013,"Tráfico, estacionamiento y transporte público",98280.66
4.0,2013,Urbanismo,0.0
4.0,2014,Cultura,429402.66
4.0,2014,"Deportes, juventud y esparcimiento",276934.0
4.0,2014,Educación,158335.42
4.0,2014,Inversiones de carácter general,125467.88
4.0,2014,Mantenimiento urbano,849150.4
4.0,2014,Protección Civil y seguridad ciudadana,69015.24
4.0,2014,Protección y promoción social,513561.58
4.0,2014,Salud pública,94515.18
4.0,2014,"Tráfico, estacionamiento y transporte público",28260.16
4.0,2015,Cultura,295650.04
4.0,2015,"Deportes, juventud y esparcimiento",592125.92
4.0,2015,Educación,597366.68
4.0,2015,Inversiones de carácter general,600689.36
4.0,2015,Mantenimiento urbano,319394.32
4.0,2015,Medio ambiente,69536.78
4.0,2015,Otros bienes públicos de carácter social,3862.48
4.0,2015,Protección Civil y seguridad ciudadana,1576432.48
4.0,2015,Protección y promoción social,330583.98
4.0,2015,Salud pública,113776.38
4.0,2015,Urbanismo,51724.5
4.0,2016,Cultura,249391.46
4.0,2016,"Deportes, juventud y esparcimiento",225708.18
4.0,2016,Educación,163827.72
4.0,2016,Infraestructuras,18489.96
4.0,2016,Inversiones de carácter general,590593.74
4.0,2016,Mantenimiento urbano,407641.7
4.0,2016,Medio ambiente,38473.96
4.0,2016,Otros bienes públicos de carácter social,6068.84
4.0,2016,Protección Civil y seguridad ciudadana,1105028.76
4.0,2016,Protección y promoción social,412564.64
4.0,2016,Salud pública,458919.96
4.0,2016,Urbanismo,40664.96
4.0,2017,Cultura,184836.82
4.0,2017,"Deportes, juventud y esparcimiento",401150.9
4.0,2017,Educación,584380.8
4.0,2017,Infraestructuras,1411609.0
4.0,2017,Inversiones de carácter general,22483.32
4.0,2017,Mantenimiento urbano,421496.32
4.0,2017,Medio ambiente,996882.96
4.0,2017,Otros bienes públicos de carácter social,9760.24
4.0,2017,Protección Civil y seguridad ciudadana,639721.7
4.0,2017,Protección y promoción social,295989.42
4.0,2017,Salud pública,685472.0
4.0,2017,Sectores productivos,0.0
4.0,2017,"Tráfico, estacionamiento y transporte público",0.0
4.0,2017,Urbanismo,229057.08
4.0,2018,Cultura,354336.46
4.0,2018,"Deportes, juventud y esparcimiento",2448148.24
4.0,2018,Educación,310256.3
4.0,2018,Infraestructuras,7845525.46
4.0,2018,Inversiones de carácter general,1036687.42
4.0,2018,Mantenimiento urbano,711424.0
4.0,2018,Medio ambiente,3801760.16
4.0,2018,Protección Civil y seguridad ciudadana,639334.1799999999
4.0,2018,Protección y promoción social,459554.92
4.0,2018,Salud pública,13003.14
4.0,2018,Sectores productivos,149692.96
4.0,2018,Urbanismo,117959.88
4.0,2019,Cultura,314639.08
4.0,2019,"Deportes, juventud y esparcimiento",1032275.84
4.0,2019,Educación,222721.26
4.0,2019,Infraestructuras,168013.58
4.0,2019,Inversiones de carácter general,4464811.0
4.0,2019,Mantenimiento urbano,244441.7
4.0,2019,Medio ambiente,1156269.76
4.0,2019,Otros bienes públicos de carácter social,1370.64
4.0,2019,Protección Civil y seguridad ciudadana,0.0
4.0,2019,Protección y promoción social,98226.66
4.0,2019,Salud pública,222438.08
4.0,2019,Urbanismo,1242727.84
4.0,2020,Cultura,40481.42
4.0,2020,"Deportes, juventud y esparcimiento",129769.28
4.0,2020,Educación,113577.72
4.0,2020,Inversiones de carácter general,67770.08
4.0,2020,Mantenimiento urbano,1178444.68
4.0,2020,Medio ambiente,1005386.02
4.0,2020,Otros bienes públicos de carácter social,6662.26
4.0,2020,Protección Civil y seguridad ciudadana,10359.22
4.0,2020,Protección y promoción social,164328.78
4.0,2020,Salud pública,193852.52
4.0,2020,Urbanismo,786942.06
4.0,2021,Cultura,1955357.82
4.0,2021,"Deportes, juventud y esparcimiento",2877195.54
4.0,2021,Educación,508897.48
4.0,2021,Infraestructuras,2759999.76
4.0,2021,Inversiones de carácter general,1916.64
4.0,2021,Mantenimiento urbano,6054315.42
4.0,2021,Medio ambiente,370775.76
4.0,2021,Otros bienes públicos de carácter social,837.32
4.0,2021,Protección Civil y seguridad ciudadana,231853.66
4.0,2021,Protección y promoción social,16232.7
4.0,2021,Salud pública,277574.5
4.0,2021,"Tráfico, estacionamiento y transporte público",105591.02
4.0,2021,Urbanismo,746174.42
4.0,2022,Cultura,10503865.42
4.0,2022,"Deportes, juventud y esparcimiento",8903276.780000001
4.0,2022,Educación,1168357.12
4.0,2022,Infraestructuras,3077707.08
4.0,2022,Inversiones de carácter general,348374.48
4.0,2022,Mantenimiento urbano,19634216.56
4.0,2022,Medio ambiente,24068.04
4.0,2022,Otros bienes públicos de carácter social,5503191.98
4.0,2022,Protección Civil y seguridad ciudadana,1269427.48
4.0,2022,Protección y promoción social,347730.42
4.0,2022,Salud pública,400066.84
4.0,2022,Urbanismo,2353578.64
5.0,2012,Cultura,877494.88
5.0,2012,"Deportes, juventud y esparcimiento",6338808.02
5.0,2012,Educación,750243.3
5.0,2012,Inversiones de carácter general,1182605.36
5.0,2012,Mantenimiento urbano,2516160.96
5.0,2012,Protección Civil y seguridad ciudadana,37720.16
5.0,2012,Protección y promoción social,79505.72
5.0,2012,"Tráfico, estacionamiento y transporte público",467814.32
5.0,2012,Urbanismo,2678088.06
5.0,2013,Cultura,222515.96
5.0,2013,"Deportes, juventud y esparcimiento",391339.1
5.0,2013,Educación,999896.6
5.0,2013,Inversiones de carácter general,4330894.3
5.0,2013,Mantenimiento urbano,3995175.76
5.0,2013,Protección y promoción social,162999.84
5.0,2013,"Tráfico, estacionamiento y transporte público",69414.5
5.0,2014,Cultura,974884.24
5.0,2014,"Deportes, juventud y esparcimiento",264841.42
5.0,2014,Educación,983447.16
5.0,2014,Inversiones de carácter general,2070986.06
5.0,2014,Mantenimiento urbano,2815717.62
5.0,2014,Medio ambiente,4084.72
5.0,2014,Protección Civil y seguridad ciudadana,76234.4
5.0,2014,Protección y promoción social,150441.94
5.0,2014,Sectores productivos,241769.98
5.0,2014,"Tráfico, estacionamiento y transporte público",46806.46
5.0,2014,Urbanismo,663980.62
5.0,2015,Cultura,724842.28
5.0,2015,"Deportes, juventud y esparcimiento",588664.56
5.0,2015,Educación,843787.8
5.0,2015,Inversiones de carácter general,2955276.66
5.0,2015,Mantenimiento urbano,185977.36
5.0,2015,Otros bienes públicos de carácter social,2726.18
5.0,2015,Protección y promoción social,509102.1
5.0,2015,Urbanismo,13388.76
5.0,2016,Cultura,608526.86
5.0,2016,"Deportes, juventud y esparcimiento",1216127.9
5.0,2016,Educación,1158879.56
5.0,2016,Inversiones de carácter general,831989.4
5.0,2016,Mantenimiento urbano,524775.04
5.0,2016,Medio ambiente,74870.76
5.0,2016,Otros bienes públicos de carácter social,667947.66
5.0,2016,Protección Civil y seguridad ciudadana,21251.36
5.0,2016,Protección y promoción social,165491.3
5.0,2016,Sectores productivos,120972.82
5.0,2016,Urbanismo,1349197.46
5.0,2017,Cultura,675054.48
5.0,2017,"Deportes, juventud y esparcimiento",1770098.92
5.0,2017,Educación,2372051.94
5.0,2017,Inversiones de carácter general,1370038.74
5.0,2017,Mantenimiento urbano,439463.32
5.0,2017,Medio ambiente,82522.38
5.0,2017,Otros bienes públicos de carácter social,123287.04
5.0,2017,Protección Civil y seguridad ciudadana,222617.3
5.0,2017,Protección y promoción social,506672.48
5.0,2017,Sectores productivos,123449.12
5.0,2017,Urbanismo,457105.16000000003
5.0,2018,Cultura,204592.08
5.0,2018,"Deportes, juventud y esparcimiento",765748.52
5.0,2018,Educación,839559.74
5.0,2018,Inversiones de carácter general,131006.5
5.0,2018,Mantenimiento urbano,157847.74
5.0,2018,Medio ambiente,103494.8
5.0,2018,Otros bienes públicos de carácter social,43423.6
5.0,2018,Protección Civil y seguridad ciudadana,34433.94
5.0,2018,Protección y promoción social,0.0
5.0,2018,Salud pública,1292.28
5.0,2018,Sectores productivos,480434.32
5.0,2018,"Tráfico, estacionamiento y transporte público",259584.64
5.0,2018,Urbanismo,3150966.38
5.0,2019,Cultura,1961777.32
5.0,2019,"Deportes, juventud y esparcimiento",2365895.96
5.0,2019,Educación,3539590.86
5.0,2019,Inversiones de carácter general,12290377.88
5.0,2019,Mantenimiento urbano,98315.24
5.0,2019,Medio ambiente,754396.36
5.0,2019,Otros bienes públicos de carácter social,249448.5
5.0,2019,Protección Civil y seguridad ciudadana,0.0
5.0,2019,Protección y promoción social,1251874.02
5.0,2019,Salud pública,2557.22
5.0,2019,Sectores productivos,401756.78
5.0,2019,Urbanismo,0.0
5.0,2020,Cultura,497703.8
5.0,2020,"Deportes, juventud y esparcimiento",1677834.54
5.0,2020,Educación,1791512.64
5.0,2020,Inversiones de carácter general,933006.74
5.0,2020,Mantenimiento urbano,21462114.1
5.0,2020,Medio ambiente,668129.2000000001
5.0,2020,Otros bienes públicos de carácter social,1510.08
5.0,2020,Protección y promoción social,322164.66
5.0,2020,Salud pública,2698.3
5.0,2020,Sectores productivos,95554.08
5.0,2020,Urbanismo,154207.8
5.0,2021,Cultura,210836.54
5.0,2021,"Deportes, juventud y esparcimiento",1315655.3
5.0,2021,Educación,3808876.44
5.0,2021,Infraestructuras,12403307.48
5.0,2021,Inversiones de carácter general,3965.04
5.0,2021,Mantenimiento urbano,5870138.3
5.0,2021,Medio ambiente,66021.98
5.0,2021,Otros bienes públicos de carácter social,8329.64
5.0,2021,Protección Civil y seguridad ciudadana,13039336.16
5.0,2021,Protección y promoción social,472528.4
5.0,2021,Salud pública,2499.98
5.0,2021,Sectores productivos,107984.92
5.0,2021,Urbanismo,12743019.0
5.0,2022,Cultura,1630515.12
