Número de Viviendas;Promoción;CODDIS;Distrito ;Año;Consecución
86;POLIGONO 43 IV FASE;13;Puente de Vallecas;1991;Promociones construidas por la EMVS
57;REMONTA III;6;Tetuán;1991;Promociones construidas por la EMVS
110;OROQUIETA;17;Villaverde;1991;Promociones construidas por la EMVS
1;EUGENIA DE MONTIJO, 17;11;Carabanchel;1992;Edificios rehabilitados integralmente
10;ANGEL, 15;1;Centro;1992;Edificios rehabilitados integralmente
8;JESUS Y MARIA, 7;1;Centro;1992;Edificios rehabilitados integralmente
88;RANCHO DEL CORDOBES I;;Usera;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
7;LAVAPIES, 32;1;Centro;1992;Edificios rehabilitados integralmente
102;LA ALEGRIA;15;Ciudad Lineal;1992;Promociones construidas por la EMVS
14;DIVINA PASTORA, 1-3;8;Fuencarral - El Pardo;1992;Promociones construidas por la EMVS
56;EL QUEROL I;16;Hortaleza;1992;Promociones construidas por la EMVS
82;EL QUEROL III;16;Hortaleza;1992;Promociones construidas por la EMVS
13;JUAN DE OLIAS, 5;6;Tetuán;1992;Edificios rehabilitados integralmente
88;VALLECAS VILLA;18;Villa de Vallecas;1992;Promociones construidas por la EMVS
32;ANILLO VERDE VICALVARO I;19;Vicálvaro;1992;Promociones construidas por la EMVS
32;ANILLO VERDE VICALVARO II;19;Vicálvaro;1992;Promociones construidas por la EMVS
27;ANILLO VERDE VICALVARO III;19;Vicálvaro;1992;Promociones construidas por la EMVS
16;ANILLO VERDE VICALVARO IV;19;Vicálvaro;1992;Promociones construidas por la EMVS
76;EL ESPINILLO IV;17;Villaverde;1992;Promociones construidas por la EMVS
23;LOS ROSALES I;17;Villaverde;1992;Promociones construidas por la EMVS
16;LOS ROSALES II;17;Villaverde;1992;Promociones construidas por la EMVS
48;ALAR DEL REY I;21;Barajas;1993;Promociones construidas por la EMVS
40;ALAR DEL REY II;21;Barajas;1993;Promociones construidas por la EMVS
16;TRAV.HUMANITARIAS,1 (990414);11;Carabanchel;1993;Promociones construidas por la EMVS
16;TRES PECES, 32-34;1;Centro;1993;Edificios rehabilitados integralmente
95;LARGO CABALLERO I;15;Ciudad Lineal;1993;Promociones construidas por la EMVS
56;EL QUEROL V;16;Hortaleza;1993;Promociones construidas por la EMVS
78;LATINA SEPULVEDA II;10;Latina;1993;Promociones construidas por la EMVS
120;LATINA SEPULVEDA III;10;Latina;1993;Promociones construidas por la EMVS
22;MELENDEZ VALDES;9;Moncloa - Aravaca;1993;Promociones construidas por la EMVS
175;MADRID SUR I;13;Puente de Vallecas;1993;Promociones construidas por la EMVS
158;MADRID SUR III;13;Puente de Vallecas;1993;Promociones construidas por la EMVS
40;MORERAS Y SICILIA I;13;Puente de Vallecas;1993;Promociones construidas por la EMVS
6;TRAVESIA HERRERA, 1;6;Tetuán;1993;Promociones construidas por la EMVS
30;CAMINO DE LA VEREDA II;18;Villa de Vallecas;1993;Promociones construidas por la EMVS
34;CAMINO DE LA VEREDA III;18;Villa de Vallecas;1993;Promociones construidas por la EMVS
9;AVENIDA DEL REAL, 11, 13 Y 15;19;Vicálvaro;1993;Edificios rehabilitados integralmente
82;EL ESPINILLO II;17;Villaverde;1993;Promociones construidas por la EMVS
28;ACACIAS;2;Arganzuela;1994;Promociones construidas por la EMVS
48;ALAMEDA DE OSUNA;21;Barajas;1994;Promociones construidas por la EMVS
19;MESON DE PAREDES, 77;1;Centro;1994;Promociones construidas por la EMVS
3;TORRECILLA DEL LEAL, 8;1;Centro;1994;Edificios rehabilitados integralmente
28;TRIBULETE, 11-PROVISIONES, 12;1;Centro;1994;Edificios rehabilitados integralmente
116;RONDA DE SEGOVIA;1;Centro;1994;Promociones construidas por la EMVS
88;DAROCA I;15;Ciudad Lineal;1994;Promociones construidas por la EMVS
100;POLIGONO 21;15;Ciudad Lineal;1994;Promociones construidas por la EMVS
58;EL QUEROL II;16;Hortaleza;1994;Promociones construidas por la EMVS
133;EL QUEROL IV;16;Hortaleza;1994;Promociones construidas por la EMVS
54;ABTAO.VALDERRIBAS;;Retiro;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
23;AVDA. DE LOS TOREROS 16;;Salamanca;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
19;BARRIO DE LA CONCEPCION;;Ciudad Lineal;;Viviendas compradas o cedidas
3;CERRO BELMONTE (R3 ARR 09.04);;Vicálvaro;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
152;CERRO BERMEJO II;;Puente de Vallecas;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
1;COLONIA FRANCISCO BRIZUELA;;Latina;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
281;COLONIA JOSE ANTONIO GIRON;;Latina;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
1;COLONIA MORATALAZ;;Moratalaz;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
100;COLONIA MOSCARDO (Salud y Ahorro);;Usera;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
598;COLONIA MOSCARDO II (Salud y Ahorro);;Usera;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
245;COLONIA NTRA.SRA.DE LAS VICTORIAS;;Tetuán;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
60;COLONIA SAN CARLOS;;Villaverde;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
344;COLONIA SAN JORGE;;Puente de Vallecas;;Viviendas de colonias o edificios procedentes del extinto Patronato de Vivienda
60;FUENDETODOS I;10;Latina;1994;Promociones construidas por la EMVS
160;LATINA SEPULVEDA I;10;Latina;1994;Promociones construidas por la EMVS
127;FUENTE DE CARRANTONA;14;Moratalaz;1994;Promociones construidas por la EMVS
65;CAMINO DE LA VEREDA I;18;Villa de Vallecas;1994;Promociones construidas por la EMVS
41;CAMINO DE LA VEREDA IV;18;Villa de Vallecas;1994;Promociones construidas por la EMVS
52;CAMINO DE LA VEREDA VI;18;Villa de Vallecas;1994;Promociones construidas por la EMVS
76;EL ESPINILLO I;17;Villaverde;1994;Promociones construidas por la EMVS
4;LOS PILARES, 11;21;Barajas;1995;Edificios rehabilitados integralmente
8;AGUAS, 1;1;Centro;1995;Edificios rehabilitados integralmente
26;CAVA BAJA, 10;1;Centro;1995;Edificios rehabilitados integralmente
21;EMBAJADORES, 26;1;Centro;1995;Edificios rehabilitados integralmente
7;ESPERANZA, 7;1;Centro;1995;Edificios rehabilitados integralmente
32;LAVAPIES, 34;1;Centro;1995;Edificios rehabilitados integralmente
6;POZAS, 8;1;Centro;1995;Edificios rehabilitados integralmente
24;ROLLO, 7;1;Centro;1995;Edificios rehabilitados integralmente
35;SOMBRERERIA, 16;1;Centro;1995;Edificios rehabilitados integralmente
3;ZURITA, 25;1;Centro;1995;Promociones construidas por la EMVS
33;DAROCA II;15;Ciudad Lineal;1995;Promociones construidas por la EMVS
152;VILLAESCUSA I;15;Ciudad Lineal;1995;Promociones construidas por la EMVS
4;ISLA DE SUMATRA, 7;8;Fuencarral - El Pardo;1995;Promociones construidas por la EMVS
110;BARRIO DEL CARMEN;16;Hortaleza;1995;Promociones construidas por la EMVS
10;GRAN VIA DE HORTALEZA;16;Hortaleza;1995;Promociones construidas por la EMVS
16;PARQUE D.GUIOMAR I;16;Hortaleza;1995;Promociones construidas por la EMVS
48;PARQUE D.GUIOMAR II;16;Hortaleza;1995;Promociones construidas por la EMVS
114;SILVANO;16;Hortaleza;1995;Promociones construidas por la EMVS
77;GENERAL ROMERO BASART;10;Latina;1995;Promociones construidas por la EMVS
178;MORATALAZ PAVONES;14;Moratalaz;1995;Promociones construidas por la EMVS
104;LA VIÑA III;13;Puente de Vallecas;1995;Promociones construidas por la EMVS
145;MADRID SUR II;13;Puente de Vallecas;1995;Promociones construidas por la EMVS
52;ARREGUI ARUEJ;3;Retiro;1995;Promociones construidas por la EMVS
8;ALBERDI;6;Tetuán;1995;Promociones construidas por la EMVS
82;EL ESPINILLO III;17;Villaverde;1995;Promociones construidas por la EMVS
76;EL ESPINILLO V;17;Villaverde;1995;Promociones construidas por la EMVS
88;DELICIAS PARCELA C;2;Arganzuela;1996;Promociones construidas por la EMVS
70;DELICIAS PARCELA D;2;Arganzuela;1996;Promociones construidas por la EMVS
16;SOMBRERERIA, 7;1;Centro;1996;Edificios rehabilitados integralmente
98;GRAN VIA DE SAN FRANCISCO;1;Centro;1996;Promociones construidas por la EMVS
48;MOLINO DE VIENTO II. FASE 1.;10;Latina;1996;Promociones construidas por la EMVS
29;OFELIA NIETO, 49;9;Moncloa - Aravaca;1996;Promociones construidas por la EMVS
28;CAMINO DE LA VEREDA V;18;Villa de Vallecas;1996;Promociones construidas por la EMVS
74;PONTONES 9 C;2;Arganzuela;1997;Promociones construidas por la EMVS
183;IMPERIAL 9B;2;Arganzuela;1997;Promociones construidas por la EMVS
6;CRUZ, 18;1;Centro;1997;Promociones construidas por la EMVS
44;RONDA DE SEGOVIA II;1;Centro;1997;Promociones construidas por la EMVS
100;VILLAESCUSA II;15;Ciudad Lineal;1997;Promociones construidas por la EMVS
75;DULCE NOMBRE MARIA PARCELA D;13;Puente de Vallecas;1997;Promociones construidas por la EMVS
51;MELQUIADES BIENCINTO II - III;13;Puente de Vallecas;1997;Promociones construidas por la EMVS
40;RANCHO DEL CORDOBES II;12;Usera;1997;Promociones construidas por la EMVS
34;ARROYO DEL TESORO I;21;Barajas;1998;Promociones construidas por la EMVS
11;ALCATRAZ;11;Carabanchel;1998;Promociones construidas por la EMVS
12;CABESTREROS, 11-13;1;Centro;1998;Edificios rehabilitados integralmente
58;LAS AMERICAS PARCELA F;1;Centro;1998;Promociones construidas por la EMVS
24;LAS AMERICAS PARCELA G;1;Centro;1998;Promociones construidas por la EMVS
14;ISLAS BRITANICAS/ISLAS ANTIPODAS;8;Fuencarral - El Pardo;1998;Promociones construidas por la EMVS
110;EL QUEROL VI (PARCELA 168);16;Hortaleza;1998;Promociones construidas por la EMVS
10;CINE Nº 37;10;Latina;1998;Promociones construidas por la EMVS
12;FUENDETODOS II;10;Latina;1998;Promociones construidas por la EMVS
48;TRES OLIVOS;10;Latina;1998;Promociones construidas por la EMVS
14;FRANCISCO DE DIEGO;9;Moncloa - Aravaca;1998;Promociones construidas por la EMVS
7;PEÑA PRIETA,39;13;Puente de Vallecas;1998;Edificios rehabilitados integralmente
25;DOCTOR SALGADO I Y II;13;Puente de Vallecas;1998;Promociones construidas por la EMVS
62;LAS ROSAS BELGICA (RC-21 A);20;San Blas - Canillejas;1998;Edificios rehabilitados integralmente
67;LAS ROSAS (RC-22);20;San Blas - Canillejas;1998;Promociones construidas por la EMVS
46;LAS ROSAS MANCHESTER RC-21 B;20;San Blas - Canillejas;1998;Promociones construidas por la EMVS
134;LAS ROSAS RC- 3B ONCE/ACCURA;20;San Blas - Canillejas;1998;Promociones construidas por la EMVS
5;INFANTAS, 2;1;Centro;1999;Edificios rehabilitados integralmente
5;INFANTAS, 4 (Local);1;Centro;1999;Edificios rehabilitados integralmente
6;NORTE, 29;1;Centro;1999;Edificios rehabilitados integralmente
14;PLAZA SAN ANDRES, 4;1;Centro;1999;Edificios rehabilitados integralmente
150;GENERAL FANJUL (PARCELA NC-4);10;Latina;1999;Promociones construidas por la EMVS
77;PAVONES ESTE (PARCELA 09);14;Moratalaz;1999;Promociones construidas por la EMVS
70;PAVONES ESTE (PARCELA 10);14;Moratalaz;1999;Promociones construidas por la EMVS
43;VINATEROS-MEDIA LEGUA (PARC. 8B);14;Moratalaz;1999;Promociones construidas por la EMVS
28;EMILIO ORTUÑO Nº 36;13;Puente de Vallecas;1999;Promociones construidas por la EMVS
26;MELQUIADES BIENCINTO I (FASE 2);13;Puente de Vallecas;1999;Promociones construidas por la EMVS
56;LAS ROSAS AQUITANIA II (PARCELA RC-23);20;San Blas - Canillejas;1999;Promociones construidas por la EMVS
80;LAS ROSAS ZURICH (PARCELA RC-16.1);20;San Blas - Canillejas;1999;Promociones construidas por la EMVS
14;CAMINO DE VASARES;18;Villa de Vallecas;1999;Promociones construidas por la EMVS
157;MARCONI. PARCELA 5;17;Villaverde;1999;Promociones construidas por la EMVS
156;MARCONI. PARCELA 6;17;Villaverde;1999;Promociones construidas por la EMVS
72;MOLINO DE VIENTO II. FASE 2.;10;Latina;2000;Edificios rehabilitados integralmente
16;OFELIA NIETO, 31-33;9;Moncloa - Aravaca;2000;Promociones construidas por la EMVS
58;DULCE NOMBRE MARIA PARCELA B;13;Puente de Vallecas;2000;Promociones construidas por la EMVS
27;PEÑA PRIETA I;13;Puente de Vallecas;2000;Promociones construidas por la EMVS
40;SAN PABLO I (PARCELA R.3 DEL E.D.);13;Puente de Vallecas;2000;Promociones construidas por la EMVS
18;SICILIA Nº2;13;Puente de Vallecas;2000;Promociones construidas por la EMVS
112;LAS ROSAS GUADALAJARA (RC-3 EMV);20;San Blas - Canillejas;2000;Promociones construidas por la EMVS
12;MIRTO, 4-8 (1);6;Tetuán;2000;Promociones construidas por la EMVS
6;MIRTO, 6;6;Tetuán;2000;Promociones construidas por la EMVS
59;SAN FERMIN OESTE. PAR. 11;12;Usera;2000;Promociones construidas por la EMVS
60;SAN FERMIN OESTE. PAR. 14;12;Usera;2000;Promociones construidas por la EMVS
4;FALCINELO, 19;11;Carabanchel;2001;Promociones construidas por la EMVS
16;AMPARO, 62;1;Centro;2001;Edificios rehabilitados integralmente
6;POSTIGO DE SAN MARTIN;1;Centro;2001;Promociones construidas por la EMVS
90;PAVONES ESTE (PARCELA 18);14;Moratalaz;2001;Promociones construidas por la EMVS
52;ALTOS DE CABREJAS Y P.CLAVERO;13;Puente de Vallecas;2001;Promociones construidas por la EMVS
17;DOCTOR SALGADO III;13;Puente de Vallecas;2001;Promociones construidas por la EMVS
8;DULCE NOMBRE MARIA PARCELA E;13;Puente de Vallecas;2001;Promociones construidas por la EMVS
87;MONTE URGULL;13;Puente de Vallecas;2001;Promociones construidas por la EMVS
27;PEÑA PRIETA II ;13;Puente de Vallecas;2001;Promociones construidas por la EMVS
10;SIERRA ELVIRA, 4;13;Puente de Vallecas;2001;Promociones construidas por la EMVS
258;LAS ROSAS (PARCELA RC-2);20;San Blas - Canillejas;2001;Promociones construidas por la EMVS
66;ESTAFETA;12;Usera;2001;Promociones construidas por la EMVS
166;PERLA (R-06);12;Usera;2001;Promociones construidas por la EMVS
151;PERLA (R-12);12;Usera;2001;Promociones construidas por la EMVS
8;AMPARO, 57;1;Centro;2002;Edificios rehabilitados integralmente
98;SANCHINARRO 01 (TR-24-E);16;Hortaleza;2002;Promociones construidas por la EMVS
98;SANCHINARRO 02 (TR-24-D);16;Hortaleza;2002;Promociones construidas por la EMVS
25;PARQUE EUROPA P-2;10;Latina;2002;Promociones construidas por la EMVS
50;DULCE NOMBRE MARIA PARCELA C;13;Puente de Vallecas;2002;Promociones construidas por la EMVS
375;PERLA (R-10);12;Usera;2002;Promociones construidas por la EMVS
155;TAFESA;17;Villaverde;2002;Promociones construidas por la EMVS
161;VERONA P-201;17;Villaverde;2002;Promociones construidas por la EMVS
43;EL AGUILA-ALCATEL P-B (C/MENDEZ ALVARO);2;Arganzuela;2003;Promociones construidas por la EMVS
18;MOLINO DE VIENTO, 10;1;Centro;2003;Edificios rehabilitados integralmente
68;RAFAEL FINAT;10;Latina;2003;Promociones construidas por la EMVS
30;PAVONES ESTE 26 EBA;14;Moratalaz;2003;Promociones construidas por la EMVS
101;SAN FRANCISCO JAVIER I (4);13;Puente de Vallecas;2003;Promociones construidas por la EMVS
40;SAN PABLO III (PARCELA R.4 DEL E.D.);13;Puente de Vallecas;2003;Promociones construidas por la EMVS
25;AVENIDA DE PAMPLONA P-9;6;Tetuán;2003;Promociones construidas por la EMVS
183;PERLA (R-13);12;Usera;2003;Promociones construidas por la EMVS
54;SAN FERMIN OESTE. PAR. 05;12;Usera;2003;Promociones construidas por la EMVS
81;SAN FERMIN OESTE. PAR. 06;12;Usera;2003;Promociones construidas por la EMVS
60;SAN FERMIN OESTE. PAR. 09;12;Usera;2003;Promociones construidas por la EMVS
53;SAN FERMIN OESTE. PAR. 12;12;Usera;2003;Promociones construidas por la EMVS
49;SAN FERMIN OESTE. PAR. 15;12;Usera;2003;Promociones construidas por la EMVS
96;VIRGEN DEL ROSARIO 1;18;Villa de Vallecas;2003;Promociones construidas por la EMVS
161;VERONA P-202;17;Villaverde;2003;Promociones construidas por la EMVS
59;EL AGUILA-ALCATEL P-A (C/CANARIAS);2;Arganzuela;2004;Promociones construidas por la EMVS
34;CARABANCHEL ENS. 01 (2.08.01.1);11;Carabanchel;2004;Promociones construidas por la EMVS
80;CARABANCHEL ENS. 02 (2.08.01.2);11;Carabanchel;2004;Promociones construidas por la EMVS
122;CARABANCHEL ENS. 03 (2.08.03);11;Carabanchel;2004;Promociones construidas por la EMVS
64;CARABANCHEL ENS. 06 (2.18);11;Carabanchel;2004;Promociones construidas por la EMVS
8;ENCOMIENDA, 8;1;Centro;2004;Edificios rehabilitados integralmente
10;LAVAPIES, 38 (Nueva planta);1;Centro;2004;Promociones construidas por la EMVS
13;CASINO 6;1;Centro;2004;Promociones construidas por la EMVS
23;EMBAJADORES,52;1;Centro;2004;Promociones construidas por la EMVS
201;VEREDA DE GANAPANES P-09;8;Fuencarral - El Pardo;2004;Promociones construidas por la EMVS
104;SANCHINARRO 03 (TR-24-C);16;Hortaleza;2004;Promociones construidas por la EMVS
176;SANCHINARRO 11 (TR-23-B);16;Hortaleza;2004;Promociones construidas por la EMVS
40;SAN PABLO II (PARCELA R.2 DEL E.D.);13;Puente de Vallecas;2004;Promociones construidas por la EMVS
23;AVENIDA CIUDAD DE BARCELONA;3;Retiro;2004;Promociones construidas por la EMVS
115;PERLA (R-11);12;Usera;2004;Promociones construidas por la EMVS
156;PERLA (R-14);12;Usera;2004;Promociones construidas por la EMVS
136;RAFAELA YBARRA;12;Usera;2004;Promociones construidas por la EMVS
276;VERONA 203;17;Villaverde;2004;Promociones construidas por la EMVS
91;PASEO DE LOS OLMOS I;2;Arganzuela;2005;Promociones construidas por la EMVS
66;CARABANCHEL ENS. 04 (2.11);11;Carabanchel;2005;Promociones construidas por la EMVS
91;CARABANCHEL ENS. 05 (3.12.02);11;Carabanchel;2005;Promociones construidas por la EMVS
20;CORREDERA BAJA S.PABLO, 41;1;Centro;2005;Edificios rehabilitados integralmente
14;ESPIRITU SANTO, 23;1;Centro;2005;Edificios rehabilitados integralmente
11;PROVISIONES, 14;1;Centro;2005;Edificios rehabilitados integralmente
146;SANCHINARRO 06 (TRC-16);16;Hortaleza;2005;Promociones construidas por la EMVS
96;SANCHINARRO 04 (TR-24-B);16;Hortaleza;2005;Promociones construidas por la EMVS
91;SANCHINARRO 05 (TR-24-A);16;Hortaleza;2005;Promociones construidas por la EMVS
165;SANCHINARRO 07 (TR-22);16;Hortaleza;2005;Promociones construidas por la EMVS
133;SANCHINARRO 09 (TR-28-B);16;Hortaleza;2005;Promociones construidas por la EMVS
300;SANCHINARRO 10 (TR-23-A);16;Hortaleza;2005;Promociones construidas por la EMVS
112;PARQUE EUROPA P-1;10;Latina;2005;Promociones construidas por la EMVS
103;SAN FRANCISCO JAVIER II (1ª y 2ª FASE);13;Puente de Vallecas;2005;Promociones construidas por la EMVS
19;AVENIDA DE PAMPLONA P-1;6;Tetuán;2005;Promociones construidas por la EMVS
6;CALLE CASTILLA 48;6;Tetuán;2005;Promociones construidas por la EMVS
220;VALLECAS ENSANCHE 06 (1.10);18;Villa de Vallecas;2005;Promociones construidas por la EMVS
252;VALDERRIBAS I, II Y III;19;Vicálvaro;2005;Promociones construidas por la EMVS
22;JOSE PEREZ;17;Villaverde;2005;Promociones construidas por la EMVS
178;ARROYO DEL TESORO II;21;Barajas;2006;Promociones construidas por la EMVS
36;CARABANCHEL ENS. 22 (1.23.2 A);11;Carabanchel;2006;Promociones construidas por la EMVS
106;CARABANCHEL ENS. 08 (2.6.1);11;Carabanchel;2006;Promociones construidas por la EMVS
136;CARABANCHEL ENS. 09 (2.6.2);11;Carabanchel;2006;Promociones construidas por la EMVS
106;CARABANCHEL ENS. 10 (2.6.6);11;Carabanchel;2006;Promociones construidas por la EMVS
78;CARABANCHEL ENS. 12 (3.3.A);11;Carabanchel;2006;Promociones construidas por la EMVS
49;CARABANCHEL ENS. 13 (3.3.B);11;Carabanchel;2006;Promociones construidas por la EMVS
60;CARABANCHEL ENS. 14 (3.3.C);11;Carabanchel;2006;Promociones construidas por la EMVS
70;CARABANCHEL ENS. 15 (3.3.D);11;Carabanchel;2006;Promociones construidas por la EMVS
77;CARABANCHEL ENS. 18 (1.34.02);11;Carabanchel;2006;Promociones construidas por la EMVS
102;CARABANCHEL ENS. 20 (1.34.04);11;Carabanchel;2006;Promociones construidas por la EMVS
11;LOPE DE VEGA,10/HUERTAS,39 (N.PLANTA);1;Centro;2006;Edificios rehabilitados integralmente
11;SAN CARLOS, 17;1;Centro;2006;Edificios rehabilitados integralmente
4;LAVAPIES, 13;1;Centro;2006;Promociones construidas por la EMVS
